timestamp,total_workload_groups,total_workload_quantity,real_time_quantity,batch_quantity,background_quantity,avg_priority_level,delayable_workload_groups,avg_max_delay_hours,total_cpu_units,total_ram_units,total_storage_io_units,total_network_units
2026-03-23 21:00:00,12,621,278,285,58,3.3333333333333335,7,6.0,241.2,228.37,153.39,157.11
2026-03-23 22:00:00,14,593,309,197,87,2.857142857142857,10,3.9285714285714284,200.18,161.12,173.75,177.13
2026-03-23 23:00:00,13,490,209,194,87,3.230769230769231,8,2.076923076923077,175.16,151.97,139.14,128.39
2026-03-24 00:00:00,12,476,206,217,53,3.4166666666666665,7,4.916666666666667,162.02,151.98,130.52,117.03
2026-03-24 01:00:00,11,612,248,271,93,3.3636363636363638,6,2.5454545454545454,216.72,201.70000000000002,157.39999999999998,149.18
2026-03-24 02:00:00,10,669,286,256,127,3.0,7,3.9,283.1,188.99,186.34,161.99
2026-03-24 03:00:00,11,529,227,196,106,3.090909090909091,6,3.8181818181818183,186.13,157.52,143.97,123.16
2026-03-24 04:00:00,9,502,210,203,89,3.5555555555555554,4,2.6666666666666665,207.26,175.12,127.92,137.7
2026-03-24 05:00:00,9,468,246,161,61,3.111111111111111,6,5.222222222222222,187.43,171.05,99.8,118.89
2026-03-24 06:00:00,11,519,199,203,117,2.8181818181818183,8,4.7272727272727275,165.96,159.22,140.19,127.72
2026-03-24 07:00:00,12,532,221,247,64,3.3333333333333335,7,3.25,187.91,175.55,141.92,127.67
2026-03-24 08:00:00,14,539,250,235,54,3.142857142857143,8,6.285714285714286,218.47,195.77,141.79999999999998,136.34
2026-03-24 09:00:00,12,694,372,237,85,2.6666666666666665,8,5.416666666666667,256.12,230.62,199.27,183.15
2026-03-24 10:00:00,13,668,358,260,50,3.4615384615384617,7,4.153846153846154,269.58,216.07,185.99,167.86
2026-03-24 11:00:00,10,753,415,262,76,3.2,6,5.6,305.15,263.65,174.72,184.73999999999998
2026-03-24 12:00:00,10,782,407,277,98,3.3,7,7.0,326.32,262.28999999999996,175.85,215.37
2026-03-24 13:00:00,11,703,348,280,75,2.8181818181818183,8,7.7272727272727275,255.45000000000002,214.51,207.39,189.09
2026-03-24 14:00:00,12,696,321,280,95,2.8333333333333335,9,5.666666666666667,260.45,227.3,189.7,173.0
2026-03-24 15:00:00,12,685,382,242,61,3.0,9,7.5,276.03,233.21,184.09,170.75
2026-03-24 16:00:00,12,645,399,199,47,3.3333333333333335,7,3.5833333333333335,242.57,218.94,173.73,185.8
2026-03-24 17:00:00,12,713,363,294,56,2.8333333333333335,7,4.5,280.58,255.58999999999997,203.91,152.03
2026-03-24 18:00:00,9,624,352,211,61,3.0,6,6.111111111111111,271.71000000000004,207.88,171.31,166.75
2026-03-24 19:00:00,12,624,321,251,52,3.1666666666666665,6,4.666666666666667,219.78,228.57,136.89,203.9
2026-03-24 20:00:00,11,682,298,310,74,3.4545454545454546,5,4.0,273.0,224.5,176.8,182.74
2026-03-24 21:00:00,15,621,271,265,85,3.0,9,5.6,226.65,203.5,161.66,153.06
2026-03-24 22:00:00,14,533,239,224,70,3.0714285714285716,9,4.357142857142857,187.67,182.05,130.5,144.26
2026-03-24 23:00:00,14,517,213,199,105,3.0714285714285716,10,4.142857142857143,173.67000000000002,188.93,123.87,106.28
2026-03-25 00:00:00,12,519,247,189,83,3.5833333333333335,7,1.0833333333333333,188.3,152.62,138.62,136.18
2026-03-25 01:00:00,10,505,249,156,100,3.4,7,2.5,186.75,170.44,136.15,128.99
2026-03-25 02:00:00,9,542,230,220,92,3.2222222222222223,6,6.0,198.38,187.28,162.84,118.51
2026-03-25 03:00:00,15,415,180,173,62,3.4,9,3.8,146.57,140.32,112.28,115.66
2026-03-25 04:00:00,12,650,186,332,132,3.3333333333333335,8,4.25,270.13,197.66,184.34,138.31
2026-03-25 05:00:00,13,612,259,242,111,3.3076923076923075,7,3.8461538461538463,222.05,198.24,167.23000000000002,163.8
2026-03-25 06:00:00,9,469,210,193,66,3.111111111111111,6,5.111111111111111,151.64000000000001,157.96,126.8,146.45
2026-03-25 07:00:00,11,518,197,243,78,3.272727272727273,6,4.545454545454546,178.73000000000002,179.78,156.8,132.88
2026-03-25 08:00:00,12,685,244,330,111,3.5833333333333335,6,5.583333333333333,220.42,236.27,218.04,178.1
2026-03-25 09:00:00,13,748,417,273,58,3.230769230769231,7,3.8461538461538463,289.37,297.75,195.64,232.85
2026-03-25 10:00:00,9,753,403,253,97,3.0,5,4.555555555555555,267.46,207.14,224.28,219.25
2026-03-25 11:00:00,10,684,327,279,78,3.0,7,6.7,245.6,247.79999999999998,172.85999999999999,194.97
2026-03-25 12:00:00,14,719,434,238,47,3.142857142857143,8,4.642857142857143,271.71,250.35,189.9,190.41
2026-03-25 13:00:00,12,808,348,362,98,3.3333333333333335,7,5.083333333333333,313.57,268.22,272.43,210.26
2026-03-25 14:00:00,10,709,419,243,47,3.6,4,2.6,265.6,249.93,206.36,224.12
2026-03-25 15:00:00,12,678,374,225,79,2.8333333333333335,9,5.5,289.71,222.5,173.35,206.82
2026-03-25 16:00:00,7,815,407,369,39,3.2857142857142856,4,5.857142857142857,305.81,289.9,219.44,214.72
2026-03-25 17:00:00,11,700,406,221,73,3.272727272727273,7,6.7272727272727275,276.77,239.10999999999999,166.74,183.74
2026-03-25 18:00:00,15,679,368,250,61,3.2666666666666666,9,5.6,261.49,221.13,171.61,187.24
2026-03-25 19:00:00,15,662,311,324,27,3.4,10,5.933333333333334,257.35,234.20000000000002,180.04,187.38
2026-03-25 20:00:00,10,507,273,166,68,3.4,6,6.2,188.21,162.55,125.14,136.54
2026-03-25 21:00:00,13,666,254,336,76,3.230769230769231,7,4.6923076923076925,235.88,202.9,161.11,144.01999999999998
2026-03-25 22:00:00,15,587,278,233,76,3.066666666666667,9,3.0,226.15,167.32999999999998,151.73,157.76
2026-03-25 23:00:00,13,410,202,119,89,2.8461538461538463,8,3.3846153846153846,153.42000000000002,154.47,97.3,119.84
2026-03-26 00:00:00,14,582,247,224,111,3.357142857142857,8,2.142857142857143,212.1,189.84,132.83,143.01
2026-03-26 01:00:00,14,521,235,221,65,3.0714285714285716,8,2.9285714285714284,199.66,177.0,157.63,110.66
2026-03-26 02:00:00,10,572,208,246,118,3.1,7,6.5,209.09,187.77,151.39000000000001,163.74
2026-03-26 03:00:00,11,551,240,228,83,3.3636363636363638,7,4.090909090909091,234.16,164.32,146.44,142.87
2026-03-26 04:00:00,14,535,227,247,61,3.142857142857143,8,5.0,194.55,168.74,141.52,142.2
2026-03-26 05:00:00,13,457,157,237,63,3.076923076923077,9,3.769230769230769,168.94,148.27,144.61,125.21000000000001
2026-03-26 06:00:00,15,529,217,228,84,3.4,10,4.133333333333334,200.97,177.02,134.38,115.09
2026-03-26 07:00:00,11,508,276,182,50,2.727272727272727,8,4.2727272727272725,148.75,172.1,128.62,143.95000000000002
2026-03-26 08:00:00,12,613,247,258,108,3.3333333333333335,7,4.333333333333333,224.85,208.09,146.84,151.76
2026-03-26 09:00:00,11,690,424,203,63,2.5454545454545454,8,6.363636363636363,264.19,269.81,152.92,181.46
2026-03-26 10:00:00,12,771,396,302,73,3.1666666666666665,7,4.916666666666667,302.06,238.39,194.39,197.25
2026-03-26 11:00:00,10,690,364,252,74,3.1,6,5.2,249.65,230.09,175.78,176.43
2026-03-26 12:00:00,12,748,435,245,68,3.5,6,4.5,266.63,268.23,159.84,218.7
2026-03-26 13:00:00,13,741,425,228,88,3.076923076923077,8,4.769230769230769,263.96999999999997,260.69,189.22,199.97
2026-03-26 14:00:00,11,834,455,321,58,3.090909090909091,8,6.545454545454546,340.37,294.92,199.71,230.94
2026-03-26 15:00:00,11,628,385,172,71,3.5454545454545454,5,3.6363636363636362,251.41,202.60999999999999,166.99,179.91
2026-03-26 16:00:00,11,754,438,246,70,2.727272727272727,6,5.363636363636363,257.45,288.0,171.63,234.1
2026-03-26 17:00:00,13,659,363,254,42,3.076923076923077,8,4.923076923076923,219.63,233.49,159.49,203.44
2026-03-26 18:00:00,10,815,438,303,74,3.8,5,3.9,321.56,279.19,188.76,239.61
2026-03-26 19:00:00,13,536,280,224,32,3.4615384615384617,7,3.923076923076923,223.04,189.23,140.22,136.03
2026-03-26 20:00:00,11,660,326,265,69,3.3636363636363638,7,3.6363636363636362,240.32999999999998,255.79,175.28,160.91
2026-03-26 21:00:00,12,574,308,229,37,3.25,6,5.416666666666667,234.67,205.6,185.62,156.53
2026-03-26 22:00:00,10,493,239,185,69,3.0,7,4.9,185.07,178.71,157.13,142.93
2026-03-26 23:00:00,12,617,252,292,73,3.3333333333333335,7,2.4166666666666665,219.57,217.65,153.38,158.33
2026-03-27 00:00:00,12,499,279,115,105,3.0833333333333335,7,3.5,187.99,164.42,114.97,148.24
2026-03-27 01:00:00,11,519,222,219,78,3.272727272727273,6,2.8181818181818183,190.21,175.26,146.06,139.89
2026-03-27 02:00:00,11,458,171,204,83,2.8181818181818183,8,4.909090909090909,152.88,183.74,124.59,117.26
2026-03-27 03:00:00,10,475,169,203,103,3.7,5,2.3,145.3,151.96,119.64999999999999,133.23
2026-03-27 04:00:00,14,488,212,202,74,3.2142857142857144,8,3.2857142857142856,186.57,171.82,126.54,125.14
2026-03-27 05:00:00,11,529,205,215,109,3.090909090909091,8,3.5454545454545454,207.39,179.08,137.6,120.99
2026-03-27 06:00:00,11,496,230,199,67,2.4545454545454546,8,4.909090909090909,173.42000000000002,181.07,124.81,133.72
2026-03-27 07:00:00,12,478,201,213,64,2.8333333333333335,8,5.5,160.14,166.48,113.81,114.75999999999999
2026-03-27 08:00:00,12,595,207,270,118,2.5833333333333335,9,5.916666666666667,183.75,183.73000000000002,159.2,132.66
2026-03-27 09:00:00,13,723,404,253,66,3.076923076923077,9,5.923076923076923,292.36,271.4,181.01,195.82
2026-03-27 10:00:00,14,667,358,233,76,3.4285714285714284,9,5.071428571428571,263.86,202.09,181.93,188.37
2026-03-27 11:00:00,11,763,414,274,75,3.0,8,5.7272727272727275,275.37,274.01,175.57,217.32
2026-03-27 12:00:00,11,719,353,293,73,3.1818181818181817,7,6.363636363636363,262.25,253.64000000000001,181.27,177.04
2026-03-27 13:00:00,13,784,471,239,74,3.4615384615384617,7,3.8461538461538463,329.09000000000003,231.11,211.6,222.04
2026-03-27 14:00:00,10,772,434,274,64,3.0,7,6.5,333.54,268.67,197.72,196.29
2026-03-27 15:00:00,10,750,408,277,65,3.4,6,5.5,279.4,251.06,180.96,204.02
2026-03-27 16:00:00,12,627,360,202,65,3.3333333333333335,6,3.5,235.82999999999998,222.82999999999998,151.35,177.31
2026-03-27 17:00:00,15,869,435,372,62,3.2666666666666666,9,4.266666666666667,334.46,289.62,225.38,237.70000000000002
2026-03-27 18:00:00,8,686,400,210,76,3.0,5,4.625,274.83,238.67000000000002,157.19,212.25
2026-03-27 19:00:00,14,723,343,313,67,3.0714285714285716,8,5.0,228.93,231.97,173.84,210.76999999999998
2026-03-27 20:00:00,12,613,268,274,71,3.1666666666666665,9,6.166666666666667,229.4,211.35,154.87,162.87
2026-03-27 21:00:00,13,586,257,250,79,2.769230769230769,9,5.461538461538462,218.51,203.35999999999999,139.06,153.48
2026-03-27 22:00:00,12,429,235,119,75,3.75,6,2.5,161.35999999999999,143.04,79.67,107.92999999999999
2026-03-27 23:00:00,12,550,310,173,67,2.8333333333333335,8,4.5,221.1,165.17,124.49,135.29
2026-03-28 00:00:00,8,447,200,210,37,3.375,5,2.75,137.78,144.72,104.15,113.25999999999999
2026-03-28 01:00:00,11,600,158,350,92,3.6363636363636362,5,3.090909090909091,229.19,180.62,199.41,148.5
2026-03-28 02:00:00,13,655,230,305,120,3.3846153846153846,8,2.076923076923077,258.81,217.7,209.22,167.03
2026-03-28 03:00:00,14,571,177,317,77,2.642857142857143,10,3.642857142857143,216.07,186.45,176.1,140.05
2026-03-28 04:00:00,12,561,214,278,69,3.4166666666666665,6,2.9166666666666665,222.51,165.98,152.26999999999998,136.9
2026-03-28 05:00:00,12,548,174,287,87,3.0,8,5.083333333333333,172.37,177.7,156.87,140.6
2026-03-28 06:00:00,8,696,217,349,130,3.75,4,2.5,248.13,230.02,242.78,164.38
2026-03-28 07:00:00,13,462,159,236,67,3.076923076923077,9,3.6923076923076925,183.99,145.76,121.64,124.95
2026-03-28 08:00:00,13,636,199,350,87,3.4615384615384617,8,5.076923076923077,221.0,189.45,186.95,173.95
2026-03-28 09:00:00,13,927,405,448,74,3.4615384615384617,7,3.6923076923076925,368.68,303.65999999999997,210.29,222.81
2026-03-28 10:00:00,11,764,321,343,100,3.4545454545454546,6,3.3636363636363638,285.73,260.99,211.27,194.41
2026-03-28 11:00:00,11,930,412,455,63,3.6363636363636362,5,3.0,402.71,341.36,277.5,223.44
2026-03-28 12:00:00,10,761,338,334,89,3.4,5,4.4,305.56,303.34,223.78,205.96
2026-03-28 13:00:00,10,833,384,368,81,3.3,5,4.3,312.05,318.09,202.95,233.14
2026-03-28 14:00:00,12,771,330,371,70,3.5833333333333335,6,4.166666666666667,276.65,247.71,246.51,200.54
2026-03-28 15:00:00,13,844,358,400,86,3.0,8,4.846153846153846,305.69,264.14,257.56,222.23
2026-03-28 16:00:00,7,748,366,303,79,3.2857142857142856,4,4.857142857142857,293.85,221.22,219.4,214.84
2026-03-28 17:00:00,8,629,341,257,31,2.875,5,6.625,244.25,212.79000000000002,166.64,197.37
2026-03-28 18:00:00,14,816,402,321,93,3.2857142857142856,8,3.7857142857142856,319.62,312.5,207.82,219.48
2026-03-28 19:00:00,11,592,288,248,56,3.5454545454545454,5,5.636363636363637,214.15,209.53,148.55,175.49
2026-03-28 20:00:00,12,707,260,371,76,3.4166666666666665,6,4.833333333333333,257.59,234.72,224.69,196.28
2026-03-28 21:00:00,13,707,290,327,90,3.3846153846153846,7,4.615384615384615,273.48,215.84,208.41,180.0
2026-03-28 22:00:00,10,504,196,216,92,2.8,7,4.9,181.26,156.8,138.49,134.34
2026-03-28 23:00:00,9,630,197,332,101,3.0,5,3.4444444444444446,260.09000000000003,213.65,186.36,139.07999999999998
2026-03-29 00:00:00,12,583,244,250,89,2.5833333333333335,8,5.083333333333333,204.76999999999998,206.74,156.47,138.99
2026-03-29 01:00:00,13,565,160,305,100,3.4615384615384617,8,3.4615384615384617,201.43,181.73,157.11,136.41
2026-03-29 02:00:00,14,507,198,221,88,3.0,8,3.2857142857142856,196.47,155.43,145.43,128.36
2026-03-29 03:00:00,14,459,180,224,55,3.0714285714285716,8,4.357142857142857,162.78,155.08,125.34,123.87
2026-03-29 04:00:00,10,589,204,328,57,3.4,4,2.1,221.26,173.12,161.5,148.77
2026-03-29 05:00:00,13,565,218,263,84,3.0,8,2.1538461538461537,229.5,199.22,171.75,136.02
2026-03-29 06:00:00,12,562,201,288,73,3.5,6,2.8333333333333335,215.99,166.97,162.04,117.99
2026-03-29 07:00:00,11,486,182,237,67,3.3636363636363638,5,2.6363636363636362,162.33,148.89000000000001,133.83,139.04999999999998
2026-03-29 08:00:00,9,529,193,269,67,3.7777777777777777,5,4.555555555555555,187.62,165.31,128.19,146.36
2026-03-29 09:00:00,13,752,334,326,92,3.4615384615384617,7,4.384615384615385,293.25,228.69,236.26,219.75
2026-03-29 10:00:00,11,748,333,323,92,3.3636363636363638,5,4.0,257.98,252.65,151.92,233.53
2026-03-29 11:00:00,11,749,408,295,46,3.4545454545454546,5,3.3636363636363638,291.15,253.71,179.43,207.32
2026-03-29 12:00:00,12,696,319,325,52,3.1666666666666665,6,3.75,257.21999999999997,217.82,202.54,184.08
2026-03-29 13:00:00,8,786,359,347,80,3.25,5,5.375,270.73,283.67,198.85,204.35
2026-03-29 14:00:00,12,696,341,285,70,3.1666666666666665,6,5.166666666666667,284.76,242.97,178.97,187.10999999999999
2026-03-29 15:00:00,12,785,324,392,69,2.6666666666666665,9,7.166666666666667,312.5,269.44,262.48,181.07
2026-03-29 16:00:00,11,748,310,345,93,3.4545454545454546,6,5.181818181818182,252.73,232.67000000000002,201.14,201.24
2026-03-29 17:00:00,12,756,361,335,60,3.0833333333333335,8,4.333333333333333,273.73,250.79,234.59,229.28
2026-03-29 18:00:00,12,727,332,325,70,3.0,9,5.25,262.37,258.8,200.94,201.43
2026-03-29 19:00:00,14,801,306,380,115,3.4285714285714284,8,3.4285714285714284,258.7,258.62,249.57999999999998,198.24
2026-03-29 20:00:00,8,607,307,250,50,3.375,5,4.75,192.44,213.66,170.79999999999998,172.01
2026-03-29 21:00:00,14,683,249,350,84,3.2142857142857144,9,5.0,238.41,241.94,170.22,175.70000000000002
2026-03-29 22:00:00,12,694,246,352,96,3.25,6,2.5,287.85,228.45,192.03,175.31
2026-03-29 23:00:00,10,566,141,315,110,3.9,4,1.9,213.2,174.0,151.36,134.0
2026-03-30 00:00:00,12,489,194,187,108,3.4166666666666665,6,2.75,192.38,162.83,131.16,134.57
2026-03-30 01:00:00,12,659,347,221,91,2.4166666666666665,9,3.5,250.25,245.83,151.22,177.26000000000002
2026-03-30 02:00:00,11,511,243,187,81,2.909090909090909,7,4.181818181818182,198.04,179.39,133.93,140.97
2026-03-30 03:00:00,12,571,226,278,67,3.1666666666666665,9,4.833333333333333,214.01,180.55,151.83,149.97
2026-03-30 04:00:00,16,533,237,201,95,3.125,10,2.5625,196.41,160.06,138.78,131.94
2026-03-30 05:00:00,9,542,163,292,87,3.2222222222222223,6,1.7777777777777777,197.46,180.98,146.13,131.66
2026-03-30 06:00:00,9,530,243,185,102,3.4444444444444446,5,4.333333333333333,174.84,175.41,139.20999999999998,125.02
2026-03-30 07:00:00,10,479,222,174,83,3.6,4,2.9,158.91,146.5,126.13,117.89
2026-03-30 08:00:00,12,543,260,234,49,3.4166666666666665,6,2.75,204.85,185.18,131.72,138.15
2026-03-30 09:00:00,13,750,340,343,67,3.5384615384615383,7,4.538461538461538,322.83,235.29999999999998,228.02,186.39000000000001
2026-03-30 10:00:00,12,675,366,211,98,2.8333333333333335,9,5.833333333333333,254.71,246.76,154.32,162.54
2026-03-30 11:00:00,15,675,317,291,67,2.933333333333333,10,6.666666666666667,243.61,231.87,163.18,177.2
2026-03-30 12:00:00,11,716,388,246,82,3.727272727272727,6,5.636363636363637,267.93,265.06,154.39000000000001,187.28
2026-03-30 13:00:00,11,655,340,217,98,3.3636363636363638,5,4.454545454545454,259.8,234.69,171.96,193.69
2026-03-30 14:00:00,9,824,431,320,73,2.7777777777777777,6,5.777777777777778,289.11,313.36,250.98,255.7
2026-03-30 15:00:00,8,779,445,270,64,3.0,5,5.75,303.75,279.22,184.87,250.48
2026-03-30 16:00:00,16,645,367,228,50,3.25,10,6.5625,237.93,227.69,191.42,180.35
2026-03-30 17:00:00,10,753,415,235,103,3.4,5,5.6,270.31,251.13,201.13,227.37
2026-03-30 18:00:00,13,738,368,317,53,2.923076923076923,9,6.153846153846154,331.01,244.12,183.8,188.07
2026-03-30 19:00:00,12,680,358,252,70,2.6666666666666665,9,4.416666666666667,239.91,218.97,183.51,204.35999999999999
2026-03-30 20:00:00,12,617,302,261,54,3.5,7,5.083333333333333,244.16,227.24,150.21,173.45
2026-03-30 21:00:00,8,608,313,257,38,3.25,5,5.0,212.79,213.71,132.83,189.83
2026-03-30 22:00:00,11,597,263,213,121,3.5454545454545454,5,1.6363636363636365,249.94,182.67,143.76999999999998,161.98999999999998
2026-03-30 23:00:00,13,568,321,193,54,2.6923076923076925,10,5.0,220.67000000000002,192.88,149.59,177.0
2026-03-31 00:00:00,12,466,195,199,72,3.1666666666666665,8,3.5,170.68,154.61,125.74,113.08
2026-03-31 01:00:00,8,494,268,167,59,3.375,5,3.75,184.45,155.23000000000002,102.92999999999999,124.92
2026-03-31 02:00:00,9,498,229,138,131,3.111111111111111,6,3.4444444444444446,163.77,153.38,145.12,103.15
2026-03-31 03:00:00,10,581,274,213,94,2.8,7,2.8,208.07999999999998,180.14,154.93,133.64000000000001
2026-03-31 04:00:00,14,647,276,236,135,3.5,8,3.4285714285714284,243.21,196.82,173.53,167.7
2026-03-31 05:00:00,11,508,225,214,69,2.909090909090909,8,5.0,192.78,181.55,136.07999999999998,105.33
2026-03-31 06:00:00,9,525,239,217,69,3.5555555555555554,4,3.0,169.94,164.7,141.88,139.89
2026-03-31 07:00:00,11,548,245,215,88,3.8181818181818183,5,2.272727272727273,212.03,181.3,149.39,149.51
2026-03-31 08:00:00,12,599,275,240,84,2.5,9,5.5,220.65,219.75,168.9,151.96
2026-03-31 09:00:00,11,705,369,252,84,3.1818181818181817,6,6.2727272727272725,254.45,231.68,174.85,218.47
2026-03-31 10:00:00,13,736,417,265,54,3.076923076923077,7,4.6923076923076925,287.51,269.04,176.71,221.2
2026-03-31 11:00:00,14,828,425,245,158,3.5,8,4.785714285714286,312.35,237.11,217.29000000000002,250.84
2026-03-31 12:00:00,11,810,411,333,66,2.727272727272727,7,4.090909090909091,299.0,286.53,244.67000000000002,254.42
2026-03-31 13:00:00,10,794,411,301,82,3.2,6,6.1,324.29,287.33,213.62,198.66
2026-03-31 14:00:00,12,766,416,302,48,3.1666666666666665,7,4.833333333333333,299.96,249.14,208.67000000000002,174.82
2026-03-31 15:00:00,15,707,338,272,97,3.1333333333333333,9,5.533333333333333,254.75,236.17,174.89,176.01
2026-03-31 16:00:00,10,694,407,218,69,3.8,5,2.7,248.23,218.98,159.3,179.72
2026-03-31 17:00:00,13,697,381,238,78,2.923076923076923,8,3.1538461538461537,254.67,230.95000000000002,190.89000000000001,179.97
2026-03-31 18:00:00,15,764,406,275,83,2.8666666666666667,10,5.933333333333334,278.8,215.59,159.41,244.67000000000002
2026-03-31 19:00:00,13,697,334,281,82,3.4615384615384617,7,4.3076923076923075,251.28,271.88,187.06,192.17000000000002
2026-03-31 20:00:00,10,597,271,256,70,3.4,5,5.7,258.18,214.95000000000002,167.2,156.85999999999999
2026-03-31 21:00:00,15,544,273,224,47,3.0,9,5.466666666666667,236.86,212.63,145.1,138.18
2026-03-31 22:00:00,12,527,265,189,73,2.8333333333333335,9,4.416666666666667,190.42000000000002,163.2,129.48,134.64000000000001
2026-03-31 23:00:00,8,577,285,206,86,3.375,4,4.0,206.81,184.92,125.6,143.92
2026-04-01 00:00:00,12,474,275,141,58,3.3333333333333335,6,4.25,190.91,156.99,116.06,139.62
2026-04-01 01:00:00,12,675,318,239,118,3.5833333333333335,7,3.3333333333333335,269.25,226.16,174.56,188.63
2026-04-01 02:00:00,13,549,182,268,99,3.3076923076923075,7,3.6153846153846154,181.57,171.87,165.14,136.51999999999998
2026-04-01 03:00:00,12,459,190,191,78,2.75,9,6.25,165.34,154.3,116.83,96.69
