timestamp,total_power_kw,floor1_power_kw,floor2_power_kw,roomA_power_kw,roomB_power_kw,roomC_power_kw,roomD_power_kw,floor1_ac_kw,floor1_light_kw,floor1_plug_kw,floor2_ac_kw,floor2_light_kw,floor2_plug_kw
2026-03-22 21:00:00,21.62,6.28,5.45,2.3,1.51,2.07,1.38,4.13,0.72,1.43,3.63,0.72,1.1
2026-03-22 22:00:00,20.83,5.6,5.4,2.01,1.41,2.07,1.44,3.63,0.72,1.24,3.43,0.65,1.31
2026-03-22 23:00:00,18.23,4.64,4.3,1.75,0.65,1.76,0.66,3.72,0.33,0.59,3.42,0.33,0.55
2026-03-23 00:00:00,20.19,5.74,5.16,2.04,1.5,1.95,1.33,3.67,0.8,1.27,3.41,0.7,1.05
2026-03-23 01:00:00,20.49,5.5,5,1.97,1.39,1.92,1.3,3.58,0.73,1.2,3.24,0.61,1.16
2026-03-23 02:00:00,19.89,5.45,4.87,1.98,1.3,1.84,1.27,3.62,0.65,1.18,3.2,0.68,0.99
2026-03-23 03:00:00,19.53,5.47,4.94,1.94,1.44,1.91,1.17,3.49,0.78,1.19,3.39,0.59,0.96
2026-03-23 04:00:00,19.91,5.64,5.11,2.02,1.4,1.94,1.25,3.71,0.74,1.19,3.48,0.69,0.93
2026-03-23 05:00:00,19.92,5.89,4.86,2.14,1.4,1.88,1.17,3.93,0.7,1.27,3.28,0.56,1.02
2026-03-23 06:00:00,25.9,8.42,8.29,2.79,3.15,2.94,3.27,4.13,1.76,2.53,3.79,1.42,3.08
2026-03-23 07:00:00,26.06,8.94,7.73,2.97,3.32,2.61,3.11,4.42,1.85,2.67,3.66,1.67,2.4
2026-03-23 08:00:00,34.64,13.8,11.63,4.33,6.68,3.75,5.55,4.66,3.67,5.47,4.24,2.78,4.61
2026-03-23 09:00:00,34.35,12.35,12.94,4.01,5.54,4.17,6.39,4.68,2.93,4.74,4.34,3.06,5.54
2026-03-23 10:00:00,35.73,14.29,11.46,4.6,6.8,3.73,5.36,4.81,3.54,5.94,4.33,2.69,4.45
2026-03-23 11:00:00,34.22,12.83,11.59,4.23,5.92,3.73,5.62,4.47,2.93,5.43,4.07,2.76,4.76
2026-03-23 12:00:00,34.77,12.39,11.91,3.84,6.02,3.78,5.75,4.23,3.4,4.77,4.33,3,4.58
2026-03-23 13:00:00,35.45,12.52,12.77,3.92,5.81,4.04,6.34,4.64,3.28,4.59,4.35,3.22,5.2
2026-03-23 14:00:00,34.55,13.72,11.77,4.58,6.27,3.82,5.84,4.8,3.02,5.91,3.84,2.71,5.22
2026-03-23 15:00:00,35.19,13.38,12.33,4.47,6.09,3.83,6.28,4.7,2.93,5.75,4.02,3.24,5.06
2026-03-23 16:00:00,35.7,12.93,12.35,4.25,5.72,4.1,5.65,4.93,2.94,5.06,4.72,2.67,4.95
2026-03-23 17:00:00,36.13,15.05,12.28,4.87,7.04,3.94,5.95,5.24,3.64,6.18,4.36,2.98,4.95
2026-03-23 18:00:00,37.1,14.15,12.66,4.84,6.08,4.05,5.83,5.39,2.8,5.95,5.07,3.18,4.42
2026-03-23 19:00:00,26.09,9.05,8.06,3.15,3.38,2.83,3.16,4.2,1.59,3.25,3.75,1.45,2.86
2026-03-23 20:00:00,28.32,9.63,8.42,3.31,3.61,3.01,3.19,4.52,1.78,3.32,4.05,1.41,2.96
2026-03-23 21:00:00,27.01,9.17,8.37,3.03,3.52,2.8,3.55,4.37,1.94,2.86,3.67,1.82,2.87
2026-03-23 22:00:00,27.1,9.03,7.89,3.07,3.55,2.72,3.09,4.02,1.77,3.25,3.78,1.57,2.54
2026-03-23 23:00:00,21.02,5.73,5.1,2.08,1.45,1.96,1.33,3.67,0.7,1.36,3.29,0.62,1.18
2026-03-24 00:00:00,19.93,5.33,4.97,1.94,1.26,1.88,1.28,3.55,0.63,1.15,3.28,0.66,1.03
2026-03-24 01:00:00,19.95,5.34,5.07,1.89,1.34,1.94,1.24,3.52,0.75,1.07,3.42,0.64,1.01
2026-03-24 02:00:00,19.42,5.49,5.11,2.01,1.38,1.95,1.37,3.51,0.65,1.34,3.24,0.63,1.23
2026-03-24 03:00:00,20.46,5.85,5.09,2.1,1.42,1.95,1.23,3.87,0.75,1.23,3.47,0.66,0.96
2026-03-24 04:00:00,20.2,5.58,5.28,2.01,1.29,2,1.29,3.79,0.69,1.1,3.61,0.72,0.95
2026-03-24 05:00:00,19.91,5.78,4.9,2.06,1.35,1.88,1.28,3.96,0.77,1.05,3.18,0.61,1.11
2026-03-24 06:00:00,24.89,8.51,7.37,2.86,3.32,2.53,2.87,3.89,1.73,2.89,3.57,1.49,2.31
2026-03-24 07:00:00,25.6,9.16,7.49,3.12,3.57,2.61,2.9,4.12,1.78,3.27,3.59,1.42,2.47
2026-03-24 08:00:00,33.52,13.24,11.42,4.15,6.3,3.7,5.45,4.65,3.51,5.09,4.13,2.68,4.6
2026-03-24 09:00:00,33.67,12.27,11.85,4.02,5.33,3.74,5.75,4.85,2.79,4.63,4.3,3.05,4.5
2026-03-24 10:00:00,33.28,12.89,11.25,4.08,6.11,3.6,5.34,4.51,3.34,5.05,4.22,2.79,4.24
2026-03-24 11:00:00,35.01,13.12,12.38,4.22,6.24,3.83,6.46,4.42,3.25,5.45,3.81,3.29,5.28
2026-03-24 12:00:00,34.12,12.77,11.72,4.09,5.81,3.57,6.02,4.78,3.15,4.84,3.86,3.26,4.6
2026-03-24 13:00:00,33.64,12.9,11.47,4.1,6,3.57,5.74,4.67,3.28,4.95,3.93,3.03,4.51
2026-03-24 14:00:00,35.79,12.91,12.68,4.22,5.8,4.18,6.05,4.81,2.99,5.11,4.45,2.77,5.45
2026-03-24 15:00:00,35.17,12.35,12.62,4.01,5.55,4.29,5.75,4.64,2.92,4.79,4.68,2.48,5.45
2026-03-24 16:00:00,35.54,13.28,12.43,4.39,6.09,3.91,6.1,4.67,3.01,5.61,4.4,3.2,4.83
2026-03-24 17:00:00,37.4,14.17,12.99,4.5,6.42,4.12,6.09,5.42,3.58,5.17,5.05,3.31,4.63
2026-03-24 18:00:00,37.81,14.51,13.34,4.68,6.08,4.53,5.96,6.25,3.42,4.83,5.17,2.66,5.51
2026-03-24 19:00:00,27.63,9.18,8.65,3.08,3.34,2.92,3.64,4.61,1.83,2.75,3.79,1.83,3.03
2026-03-24 20:00:00,26.22,8.41,8.01,2.85,3.04,2.77,2.98,4.19,1.6,2.62,4.1,1.59,2.31
2026-03-24 21:00:00,26.24,8.33,8.24,2.82,3.07,2.8,3.27,4.07,1.62,2.64,3.96,1.75,2.54
2026-03-24 22:00:00,26.44,9.04,7.66,2.99,3.47,2.68,2.88,4.3,1.91,2.83,3.82,1.45,2.4
2026-03-24 23:00:00,20.11,5.46,5.06,2,1.24,1.9,1.36,3.71,0.61,1.15,3.26,0.71,1.08
2026-03-25 00:00:00,21.25,5.93,5.3,2.12,1.37,2.03,1.27,4.07,0.77,1.09,3.64,0.69,0.97
2026-03-25 01:00:00,19.78,5.74,5.01,2.05,1.51,1.88,1.3,3.62,0.78,1.33,3.33,0.72,0.97
2026-03-25 02:00:00,19.9,5.53,4.92,2.01,1.36,1.9,1.18,3.6,0.67,1.26,3.36,0.6,0.96
2026-03-25 03:00:00,18.7,5.35,4.96,1.92,1.23,1.93,1.18,3.66,0.68,1.01,3.37,0.55,1.05
2026-03-25 04:00:00,20.81,5.81,5.44,2.09,1.33,2.13,1.3,3.98,0.72,1.11,3.66,0.57,1.22
2026-03-25 05:00:00,19.65,5.57,5.15,2.01,1.33,1.96,1.32,3.73,0.7,1.15,3.4,0.68,1.07
2026-03-25 06:00:00,25.98,9.05,7.72,3.07,3.63,2.53,3.27,3.93,1.8,3.32,3.48,1.82,2.41
2026-03-25 07:00:00,26.37,9.06,8.18,3.15,3.3,2.87,3.17,4.35,1.58,3.13,3.89,1.5,2.79
2026-03-25 08:00:00,34.15,13.61,10.98,4.46,6.51,3.39,5.49,4.4,3.21,6.01,3.81,2.98,4.2
2026-03-25 09:00:00,34.97,13.23,12.48,4.47,6.24,4.23,5.85,4.2,2.83,6.2,4.39,2.47,5.63
2026-03-25 10:00:00,34.14,13.93,11.53,4.52,6.81,3.79,5.47,4.34,3.41,6.19,4.12,2.56,4.85
2026-03-25 11:00:00,34.66,13.25,12.12,4.47,6.05,3.93,6.12,4.55,2.82,5.88,3.76,2.75,5.6
2026-03-25 12:00:00,36.08,13.83,11.83,4.44,6.89,3.74,5.74,4.16,3.5,6.17,4.27,3.02,4.53
2026-03-25 13:00:00,35.39,13.4,11.88,4.48,6.04,3.96,5.7,4.8,2.91,5.7,4.04,2.48,5.36
2026-03-25 14:00:00,35.53,14.09,11.74,4.64,6.17,3.9,5.35,5.48,3.18,5.43,4.53,2.55,4.66
2026-03-25 15:00:00,37.98,14.04,13.59,4.58,5.95,4.64,6.02,5.86,3.21,4.97,5.32,2.65,5.63
2026-03-25 16:00:00,35.56,13.57,12.17,4.55,5.77,3.77,5.97,5.41,2.85,5.3,4.42,3.3,4.46
2026-03-25 17:00:00,35.89,13.5,12.54,4.33,5.85,4.17,5.91,5.54,3.26,4.7,4.48,2.69,5.37
2026-03-25 18:00:00,35.61,14.01,12.31,4.58,6.05,4.2,5.26,5.64,3.21,5.16,5.2,2.47,4.64
2026-03-25 19:00:00,27.16,8.79,8.08,3,3.21,2.83,3.22,4.31,1.64,2.84,3.7,1.48,2.91
2026-03-25 20:00:00,27.92,9.19,8.91,3.07,3.36,3.04,3.6,4.6,1.86,2.74,4.14,1.83,2.95
2026-03-25 21:00:00,25.87,8.52,8.06,2.86,3.11,2.72,3.27,4.25,1.69,2.58,3.75,1.72,2.59
2026-03-25 22:00:00,26.25,8.69,7.47,3.02,3.1,2.51,3.08,4.29,1.5,2.9,3.42,1.63,2.42
2026-03-25 23:00:00,19.9,5.45,4.99,1.97,1.24,1.89,1.31,3.74,0.65,1.06,3.24,0.66,1.1
2026-03-26 00:00:00,20.97,5.77,5.48,2.09,1.34,2.09,1.37,3.89,0.69,1.19,3.67,0.72,1.09
2026-03-26 01:00:00,19.55,5.48,5.22,1.95,1.4,1.99,1.34,3.55,0.76,1.17,3.43,0.66,1.12
2026-03-26 02:00:00,20.52,5.8,5.06,2.08,1.44,1.98,1.21,3.8,0.75,1.25,3.41,0.54,1.11
2026-03-26 03:00:00,19.71,5.65,4.81,2.05,1.44,1.82,1.24,3.6,0.7,1.35,3.19,0.66,0.97
2026-03-26 04:00:00,19.95,5.61,4.79,2.01,1.44,1.84,1.16,3.6,0.74,1.27,3.26,0.59,0.94
2026-03-26 05:00:00,19.89,5.68,5.45,2.09,1.25,2.09,1.34,3.9,0.61,1.17,3.68,0.69,1.08
2026-03-26 06:00:00,26.51,8.76,8.11,2.97,3.33,2.71,3.3,4.1,1.71,2.96,3.83,1.82,2.47
2026-03-26 07:00:00,25.21,8.8,7.71,2.98,3.32,2.65,3.18,4.17,1.72,2.91,3.42,1.51,2.77
2026-03-26 08:00:00,33.87,12.25,11.97,4.06,5.63,3.8,6.06,4.27,2.76,5.22,3.84,2.96,5.17
2026-03-26 09:00:00,36.03,13.61,12.93,4.42,6.48,4.18,6.41,4.52,3.28,5.8,4.28,3.03,5.62
2026-03-26 10:00:00,33.82,12.29,12.27,3.97,5.52,3.91,6.26,4.66,2.94,4.69,3.82,2.99,5.46
2026-03-26 11:00:00,34.53,12.84,11.74,4.04,6.26,3.62,5.74,4.23,3.38,5.23,4.31,3.23,4.2
2026-03-26 12:00:00,34.2,13.12,12.06,4.47,6.12,3.89,6.05,4.22,2.72,6.17,3.86,2.82,5.37
2026-03-26 13:00:00,34.22,13.2,11.33,4.09,6.34,3.57,5.63,4.62,3.61,4.97,3.85,2.87,4.6
2026-03-26 14:00:00,36.06,13.66,12.36,4.25,6.34,4.08,5.61,5.1,3.64,4.92,4.86,2.77,4.73
2026-03-26 15:00:00,35.46,14,12.09,4.6,6.3,3.78,5.95,5.17,3.2,5.63,4.3,3.19,4.6
2026-03-26 16:00:00,35.67,13.89,11.72,4.57,6.07,3.65,5.67,5.42,3.14,5.33,4.35,3.14,4.22
2026-03-26 17:00:00,40.45,15.23,14.49,5.09,6.29,4.75,6.68,6.41,3.2,5.63,5.56,3.3,5.63
2026-03-26 18:00:00,36.15,14.34,12.62,4.67,6.31,3.97,5.9,5.6,3.34,5.4,4.99,3.31,4.32
2026-03-26 19:00:00,27.47,9.58,8.12,3.37,3.4,2.83,2.99,4.68,1.57,3.32,4.19,1.57,2.36
2026-03-26 20:00:00,28.19,9.55,8.36,3.28,3.53,2.96,3.2,4.56,1.75,3.24,4,1.46,2.89
2026-03-26 21:00:00,27.6,9.3,8.13,3.19,3.49,2.86,3.04,4.37,1.73,3.2,4.06,1.5,2.57
2026-03-26 22:00:00,26.4,9.07,7.25,3.09,3.35,2.53,2.84,4.38,1.72,2.96,3.43,1.36,2.46
2026-03-26 23:00:00,19.89,5.69,5.15,2.04,1.39,1.95,1.33,3.77,0.74,1.18,3.4,0.69,1.05
2026-03-27 00:00:00,20.04,5.55,5.14,2.01,1.26,2,1.19,3.8,0.67,1.08,3.56,0.6,0.99
2026-03-27 01:00:00,20.61,6.12,5.06,2.2,1.47,1.94,1.32,4.08,0.77,1.27,3.27,0.62,1.18
2026-03-27 02:00:00,20.17,6.06,5,2.19,1.44,1.89,1.3,4.05,0.74,1.27,3.29,0.69,1.02
2026-03-27 03:00:00,19.89,5.96,5.12,2.16,1.44,1.93,1.4,3.94,0.73,1.29,3.25,0.7,1.17
2026-03-27 04:00:00,20.57,5.84,5.24,2.09,1.43,1.98,1.38,3.86,0.77,1.21,3.42,0.71,1.12
2026-03-27 05:00:00,19.4,5.49,4.95,1.94,1.4,1.85,1.28,3.59,0.79,1.11,3.29,0.72,0.94
2026-03-27 06:00:00,25.7,8.82,7.99,3.01,3.49,2.65,3.4,3.86,1.69,3.26,3.53,1.82,2.64
2026-03-27 07:00:00,25.67,8.81,7.5,2.94,3.25,2.54,3.05,4.37,1.8,2.64,3.47,1.59,2.43
2026-03-27 08:00:00,35.6,13.17,12.62,4.19,6.11,4.09,6.18,4.78,3.33,5.06,4.27,2.92,5.43
2026-03-27 09:00:00,35.04,13.46,12.73,4.47,6.46,4.02,6.37,4.21,3.06,6.19,4.24,3.2,5.29
2026-03-27 10:00:00,33.53,12.35,11.9,3.98,5.63,3.92,5.69,4.57,2.99,4.78,4.17,2.63,5.1
2026-03-27 11:00:00,34.8,13.01,12.2,4.12,6.16,3.77,6.28,4.56,3.35,5.11,3.91,3.26,5.03
2026-03-27 12:00:00,34.81,13.25,11.77,4.36,6.06,3.63,5.86,4.72,3.04,5.49,4.15,3.22,4.4
2026-03-27 13:00:00,35.11,13.73,12.25,4.33,6.56,3.82,6.34,4.73,3.58,5.42,3.79,3.18,5.28
2026-03-27 14:00:00,35.78,13.52,12.39,4.55,6.06,3.94,6.16,4.85,2.87,5.8,4.15,3.05,5.19
2026-03-27 15:00:00,36.71,14.13,12.07,4.67,6.52,3.78,5.76,4.89,3.21,6.03,4.6,3.19,4.27
2026-03-27 16:00:00,36.86,13.76,12.73,4.46,5.97,4.22,5.71,5.55,3.24,4.97,5.09,2.82,4.82
2026-03-27 17:00:00,38.01,15,12.82,4.85,6.7,4.33,5.79,5.76,3.59,5.65,4.91,2.62,5.29
2026-03-27 18:00:00,36.99,13.4,14.05,4.45,5.42,4.63,6.31,5.88,2.86,4.66,5.66,3.19,5.2
2026-03-27 19:00:00,27.14,9.65,8.45,3.3,3.21,2.91,3.24,5.23,1.74,2.68,4.18,1.69,2.58
2026-03-27 20:00:00,27.1,9.14,8.38,3.16,3.22,3.02,3.09,4.59,1.6,2.95,4.13,1.36,2.89
2026-03-27 21:00:00,26.64,8.7,8.16,2.98,3.1,2.92,3.09,4.36,1.59,2.74,3.91,1.36,2.89
2026-03-27 22:00:00,26.04,8.72,8.35,3.02,3.41,2.93,3.31,3.83,1.6,3.3,3.82,1.49,3.04
2026-03-27 23:00:00,21.07,5.53,5.41,2.03,1.34,2.07,1.39,3.61,0.63,1.3,3.54,0.66,1.21
2026-03-28 00:00:00,18.19,4.36,4.22,1.64,0.67,1.74,0.6,3.41,0.34,0.61,3.42,0.31,0.5
2026-03-28 01:00:00,18.31,4.42,4.31,1.68,0.58,1.79,0.58,3.6,0.29,0.53,3.52,0.27,0.52
2026-03-28 02:00:00,18.29,4.82,4.13,1.84,0.62,1.7,0.58,3.92,0.29,0.61,3.37,0.3,0.46
2026-03-28 03:00:00,17.49,4.5,4.07,1.69,0.66,1.69,0.51,3.58,0.34,0.58,3.39,0.26,0.42
2026-03-28 04:00:00,17.78,4.58,4.16,1.75,0.62,1.72,0.61,3.7,0.29,0.6,3.33,0.28,0.55
2026-03-28 05:00:00,18.54,4.46,4.38,1.7,0.53,1.82,0.59,3.72,0.27,0.47,3.59,0.28,0.51
2026-03-28 06:00:00,21.76,6.22,5.55,2.22,1.6,2.11,1.51,4,0.83,1.39,3.52,0.72,1.31
2026-03-28 07:00:00,20.29,6.07,5.57,2.2,1.51,2.11,1.45,3.94,0.74,1.39,3.66,0.76,1.14
2026-03-28 08:00:00,23.6,7.46,6.75,2.6,2.52,2.42,2.37,3.9,1.25,2.31,3.57,1.16,2.02
2026-03-28 09:00:00,24.02,8.13,6.97,2.89,2.75,2.48,2.38,4.15,1.24,2.73,3.84,1.25,1.88
2026-03-28 10:00:00,24.88,7.94,7.13,2.77,2.82,2.48,2.76,3.91,1.34,2.69,3.44,1.36,2.34
2026-03-28 11:00:00,24.61,7.84,7.01,2.64,2.78,2.45,2.51,4.04,1.52,2.28,3.73,1.36,1.92
2026-03-28 12:00:00,24.69,7.33,6.98,2.55,2.49,2.45,2.53,3.81,1.24,2.29,3.64,1.31,2.03
2026-03-28 13:00:00,24.64,7.9,7.19,2.65,2.98,2.48,2.81,3.79,1.59,2.52,3.44,1.41,2.34
2026-03-28 14:00:00,25.48,8.08,7.28,2.71,2.88,2.6,2.51,4.16,1.61,2.31,3.94,1.26,2.08
2026-03-28 15:00:00,27.07,8.51,7.94,2.88,2.86,2.79,2.88,4.61,1.59,2.31,4.12,1.47,2.35
2026-03-28 16:00:00,26.04,8.85,7.77,3.12,2.73,2.87,2.5,5,1.36,2.5,4.35,1.13,2.29
2026-03-28 17:00:00,26.34,9.41,7.63,3.33,2.94,2.71,2.6,5.22,1.42,2.77,4.23,1.39,2.01
2026-03-28 18:00:00,25.21,7.9,7.27,2.73,2.52,2.63,2.43,4.41,1.35,2.14,4.01,1.19,2.07
2026-03-28 19:00:00,22.15,6.35,5.8,2.32,1.45,2.21,1.54,4.31,0.72,1.32,3.71,0.72,1.36
2026-03-28 20:00:00,21.53,6.6,5.74,2.37,1.53,2.23,1.3,4.52,0.84,1.24,4.02,0.66,1.06
2026-03-28 21:00:00,21.9,6.29,5.13,2.24,1.59,1.97,1.31,4.11,0.86,1.33,3.37,0.63,1.13
2026-03-28 22:00:00,20.58,5.65,5.12,2.05,1.49,1.96,1.36,3.52,0.71,1.42,3.25,0.61,1.25
2026-03-28 23:00:00,18.86,4.55,4.27,1.72,0.6,1.78,0.54,3.74,0.33,0.49,3.54,0.26,0.47
2026-03-29 00:00:00,18.62,4.47,3.98,1.68,0.6,1.62,0.61,3.65,0.34,0.49,3.18,0.33,0.48
2026-03-29 01:00:00,18.02,4.7,4.11,1.79,0.59,1.71,0.57,3.88,0.3,0.52,3.32,0.25,0.54
2026-03-29 02:00:00,17.87,4.67,3.84,1.78,0.63,1.58,0.54,3.77,0.29,0.61,3.11,0.27,0.46
2026-03-29 03:00:00,18.03,4.39,4.39,1.66,0.66,1.83,0.58,3.46,0.33,0.61,3.6,0.26,0.54
2026-03-29 04:00:00,17.58,4.38,4.19,1.65,0.58,1.72,0.58,3.57,0.32,0.49,3.45,0.32,0.42
2026-03-29 05:00:00,17.48,4.59,4.26,1.72,0.61,1.77,0.53,3.76,0.35,0.48,3.56,0.28,0.43
2026-03-29 06:00:00,21.21,5.92,5.25,2.14,1.62,1.99,1.49,3.62,0.77,1.54,3.2,0.67,1.37
2026-03-29 07:00:00,21.23,5.99,5.35,2.18,1.55,2.02,1.42,3.76,0.72,1.51,3.46,0.73,1.16
2026-03-29 08:00:00,24.16,7.94,7,2.79,2.81,2.37,2.79,3.89,1.29,2.75,3.35,1.5,2.15
2026-03-29 09:00:00,24.92,7.83,7.18,2.66,2.92,2.6,2.47,3.75,1.5,2.58,3.83,1.16,2.19
2026-03-29 10:00:00,24.97,8.3,7.45,2.87,2.95,2.67,2.67,4.13,1.46,2.71,3.83,1.25,2.38
2026-03-29 11:00:00,24.53,7.81,6.68,2.7,2.84,2.37,2.45,3.77,1.38,2.66,3.38,1.17,2.13
2026-03-29 12:00:00,23.74,7.74,6.83,2.62,2.87,2.41,2.56,3.75,1.5,2.49,3.37,1.22,2.24
2026-03-29 13:00:00,25.07,7.69,7.1,2.59,2.86,2.52,2.47,3.75,1.53,2.41,3.85,1.29,1.96
2026-03-29 14:00:00,25.82,8.16,7.69,2.8,2.77,2.74,2.81,4.31,1.45,2.4,3.9,1.33,2.45
2026-03-29 15:00:00,25.58,8.67,7.74,2.99,2.75,2.76,2.65,4.87,1.47,2.32,4.25,1.39,2.11
2026-03-29 16:00:00,27.48,8.88,8.45,3.14,2.46,3.11,2.76,5.46,1.29,2.13,4.67,1.25,2.52
2026-03-29 17:00:00,26.9,8.73,8.29,3.1,2.84,2.96,2.92,4.66,1.33,2.74,4.39,1.44,2.46
2026-03-29 18:00:00,27.2,8.98,7.99,3.23,2.62,2.94,2.39,5.22,1.23,2.53,4.83,1.23,1.92
2026-03-29 19:00:00,21.25,5.97,5.91,2.14,1.4,2.28,1.38,4.05,0.76,1.16,4.1,0.73,1.09
2026-03-29 20:00:00,21.76,5.99,5.63,2.12,1.59,2.12,1.45,3.81,0.86,1.33,3.75,0.79,1.09
2026-03-29 21:00:00,20.94,5.67,5.36,1.97,1.55,2.01,1.41,3.59,0.9,1.19,3.53,0.78,1.05
2026-03-29 22:00:00,21.02,5.81,5.28,2.08,1.61,2,1.41,3.53,0.8,1.48,3.41,0.71,1.16
2026-03-29 23:00:00,19,4.35,4.26,1.66,0.56,1.77,0.61,3.57,0.27,0.51,3.44,0.28,0.54
2026-03-30 00:00:00,20.9,5.9,4.98,2.11,1.52,1.91,1.25,3.78,0.79,1.33,3.31,0.61,1.05
2026-03-30 01:00:00,21.15,6.04,5.21,2.16,1.52,1.97,1.29,3.92,0.8,1.32,3.54,0.71,0.96
2026-03-30 02:00:00,20.79,5.56,5.58,1.98,1.29,2.15,1.39,3.81,0.73,1.02,3.7,0.66,1.21
2026-03-30 03:00:00,20.25,5.76,5.37,2.07,1.39,2.04,1.37,3.84,0.73,1.2,3.58,0.72,1.07
2026-03-30 04:00:00,19.99,5.37,5.44,1.95,1.26,2.06,1.41,3.58,0.63,1.15,3.58,0.73,1.13
2026-03-30 05:00:00,19.52,5.66,5.32,2.03,1.38,2.03,1.39,3.74,0.72,1.19,3.46,0.69,1.17
2026-03-30 06:00:00,25.97,9.23,7.74,3.16,3.52,2.61,3.23,4.25,1.73,3.25,3.46,1.65,2.63
2026-03-30 07:00:00,26.32,8.68,7.63,2.92,3.46,2.54,3.15,3.84,1.77,3.07,3.54,1.73,2.36
2026-03-30 08:00:00,33.57,12.51,10.9,3.85,6.03,3.54,5.18,4.37,3.46,4.68,3.97,2.56,4.37
2026-03-30 09:00:00,34.02,12.72,12.41,4.12,5.78,3.98,6.24,4.7,3.04,4.97,3.99,2.96,5.46
2026-03-30 10:00:00,34.11,13.68,11.13,4.49,6.39,3.63,5.36,4.67,3.18,5.83,3.89,2.55,4.69
2026-03-30 11:00:00,35.26,14.23,10.91,4.52,6.84,3.52,5.32,4.78,3.65,5.8,3.76,2.57,4.58
2026-03-30 12:00:00,35.78,13.66,12.39,4.59,6.37,3.96,6.07,4.51,2.97,6.18,4.3,3.04,5.05
2026-03-30 13:00:00,36.49,13.71,12.8,4.36,6.73,4.07,6.36,4.37,3.53,5.81,4.3,3.15,5.35
2026-03-30 14:00:00,35.2,13.99,11.93,4.64,6.16,3.85,5.55,5.33,3.1,5.56,4.61,2.88,4.44
2026-03-30 15:00:00,37.11,14.53,13.12,4.78,6.11,4.34,6.15,6.07,3.23,5.23,4.78,2.86,5.48
2026-03-30 16:00:00,36.36,14.56,12.18,4.74,6.43,3.96,5.48,5.67,3.41,5.49,4.98,2.9,4.3
2026-03-30 17:00:00,38.21,14.95,13.18,4.82,6.78,4.33,5.77,5.59,3.61,5.75,5.6,3.05,4.52
2026-03-30 18:00:00,36.03,13.27,12.46,4.32,5.81,3.98,5.92,5.22,3.08,4.97,4.66,3.08,4.72
2026-03-30 19:00:00,28.56,9.88,8.91,3.38,3.29,3.12,3.16,5.34,1.77,2.76,4.79,1.72,2.41
